Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Customs Unit Value (Gen),Customs Unit Value (Cons),Card Count
"2820 Manganese Oxides","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","1996497","1996497","252225","2362475","2362475","11855","","","","","","","29"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2022","611057","0","0","614557","0","0","","","","","","","2"
"3910 Silicones, In Primary Forms","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2022","7197915","7197915","5253913","7945029","7945029","157616","","","","","","","41"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2022","9685574","9685574","0","9904098","9904098","0","","","","","","","27"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","3317","3317","0","3767","3767","0","","","","","","","1"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2024","1641511","1641511","1362791","1701821","1701821","56608","","","","","","","26"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","1004150","1004150","306978","1023591","1023591","10314","","","","","","","20"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2024","30194","30194","30194","33020","33020","1402","","","","","","","2"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","76353333","73072212","34340721","80917549","77338169","14302966","","","","","","","218"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2021","10218","10218","10218","23390","23390","2555","","","","","","","4"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2021","17856","17856","0","18056","18056","0","","","","","","","1"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","176097","176097","155112","194000","194000","11982","","","","","","","18"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2021","35000","35000","35000","35650","35650","700","","","","","","","1"
"2504 Natural Graphite","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2024","10094","10094","0","13094","13094","0","","","","","","","1"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","7731787","7731787","870292","7758976","7758976","86695","","","","","","","21"
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","941735","939669","0","982171","979984","0","","","","","","","46"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","38859996","37646366","21198105","43204317","41911428","5292040","","","","","","","520"
"3910 Silicones, In Primary Forms","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","142758652","140877521","140877521","153085391","151191812","4226331","","","","","","","3637"
"3910 Silicones, In Primary Forms","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","1595973","1597072","1597072","1685601","1690159","47920","","","","","","","125"
"3910 Silicones, In Primary Forms","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","44606986","44606986","13436506","47652184","47652184","403094","","","","","","","658"
"2614 Titanium Ores And Concentrates","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","42300","42300","0","46050","46050","0","","","","","","","2"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","188757537","188757537","175799431","195228508","195228508","26215289","","","","","","","793"
"2604 Nickel Ores And Concentrates","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","2145","2145","0","3372","3372","0","","","","","","","1"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2023","703171","703171","423349","710748","710748","23630","","","","","","","40"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","105640196","105640196","0","105714551","105714551","0","","","","","","","254"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","487400","487400","141039","491564","491564","0","","","","","","","4"
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","884018","884018","0","958209","958209","0","","","","","","","58"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","48279","30926","30926","49169","31563","2294","","","","","","","9"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2024","3166863","3243446","0","3323784","3404341","0","","","","","","","30"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1534597","1534597","0","1553125","1553125","0","","","","","","","2"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2024","29835106","29835106","0","30178779","30178779","0","","","","","","","63"
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","1102006","1102006","1102006","1394876","1394876","51793","","","","","","","36"
"2614 Titanium Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","14971320","14971320","0","14972520","14972520","0","","","","","","","1"
"2603 Copper Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","185305","185305","185305","200897","200897","0","","","","","","","6"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","1371471","1371471","0","1372346","1372346","0","","","","","","","3"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","15383375","15383375","0","15685854","15685854","0","","","","","","","67"
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","77448","77448","9998","82702","82702","550","","","","","","","6"
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","1209608","1209608","1209608","1409378","1409378","56851","","","","","","","24"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","1087325","1087325","1087325","1119243","1119243","0","","","","","","","63"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","18256366","18256366","0","18647400","18647400","0","","","","","","","107"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","11620304","11620304","0","11626404","11626404","0","","","","","","","10"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","696954","696954","0","806301","806301","0","","","","","","","14"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","15665","15665","15665","16165","16165","2146","","","","","","","1"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","21054871","21054871","0","21061821","21061821","0","","","","","","","7"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","159118","159118","154285","171330","171330","1068","","","","","","","20"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","20822","20822","0","24336","24336","0","","","","","","","2"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","159186","159186","156186","161286","161286","20971","","","","","","","3"
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","96830","96830","0","99689","99689","0","","","","","","","2"
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","8669293","8669293","8668993","9359883","9359883","260079","","","","","","","235"
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","4506201","4506201","4504968","4770956","4770956","155326","","","","","","","112"
"2609 Tin Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","62118","62118","0","63618","63618","0","","","","","","","1"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","1381767","1565524","1429354","1410295","1584051","53598","","","","","","","96"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","11581851","11581851","1579256","12092039","12092039","59570","","","","","","","148"
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","16226528","16226528","16226528","17480355","17480355","486800","","","","","","","233"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","3296876","3296876","3296876","3379334","3379334","98904","","","","","","","20"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","638404","898629","779071","664436","926731","28822","","","","","","","60"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","3254679","3359487","2703216","3341820","3444204","225850","","","","","","","357"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","1345782","1345782","209234","1386253","1386253","8155","","","","","","","21"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","243874","243874","243874","247834","247834","0","","","","","","","5"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","6992898","6992898","1024612","7434387","7434387","42780","","","","","","","136"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","239225","239225","0","257563","257563","0","","","","","","","4"
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","19850","19850","0","19950","19950","0","","","","","","","1"
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","33765","33765","0","38425","38425","0","","","","","","","2"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","1444048","1444048","1444048","1476423","1476423","43577","","","","","","","10"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","18274657","18274657","0","18349041","18349041","0","","","","","","","34"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","799219","799219","0","833643","833643","0","","","","","","","18"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","1493561","1493561","285661","1520493","1520493","11150","","","","","","","21"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1470747","1340078","409638","1483107","1356431","15310","","","","","","","24"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","8831210","8831210","731548","9349816","9349816","27743","","","","","","","110"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","814743","814743","719332","867114","867114","0","","","","","","","71"
"2609 Tin Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","19577","19577","0","22595","22595","0","","","","","","","2"
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","50122","50122","0","57853","57853","0","","","","","","","5"
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","8651835","8651835","8651835","9543133","9543133","259554","","","","","","","208"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1767553","1318358","1318358","1791590","1338842","24724","","","","","","","10"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","53799583","53799583","0","53803267","53803267","0","","","","","","","9"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","3238974","3463699","2060334","3310790","3521115","139035","","","","","","","293"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","991655","1238098","1024922","1016559","1269966","79700","","","","","","","159"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","26905","26905","26905","29900","29900","996","","","","","","","5"
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","5127664","5127664","5127664","5739916","5739916","241005","","","","","","","41"
"2801 Fluorine, Chlorine, Bromine & Iodine","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","260545","260545","105000","289113","289113","5775","","","","","","","18"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","425891","425891","0","454940","454940","0","","","","","","","8"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","32369067","32369067","0","32374211","32374211","0","","","","","","","5"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","684066","684066","684066","695790","695790","0","","","","","","","24"
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","2390750","2390750","2390750","2831186","2831186","112364","","","","","","","44"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1353953","1353953","1086403","1366558","1366558","40894","","","","","","","14"
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","2503894","2503894","2503894","2997095","2997095","167564","","","","","","","50"
"3910 Silicones, In Primary Forms","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","7367462","7367462","7365266","7730867","7730867","220955","","","","","","","185"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","37935","37935","37935","39435","39435","1403","","","","","","","5"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","404865","404865","55878","422574","422574","2324","","","","","","","13"
"2606 Aluminum Ores And Concentrates","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","5444","5444","0","6244","6244","0","","","","","","","2"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","259776","259776","259776","275279","275279","64338","","","","","","","2"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","1755680","1755680","1755680","1794217","1794217","52764","","","","","","","9"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","285350","285350","285350","317042","317042","71339","","","","","","","6"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","2278415","2278415","2166001","2351326","2351326","65025","","","","","","","12"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","15883691","15883691","0","16086496","16086496","0","","","","","","","71"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","2640770","2535885","1270833","2688809","2582409","107689","","","","","","","186"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","422206","444669","440808","434184","456847","16342","","","","","","","35"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","13701542","13701542","0","13854668","13854668","0","","","","","","","61"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","914711","914711","0","973421","973421","0","","","","","","","17"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","4534595","4534595","1440968","4880933","4880933","88473","","","","","","","148"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","347801","441948","205334","363229","457697","7599","","","","","","","27"
"2820 Manganese Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","2202725","2202725","2202725","2743722","2743722","103532","","","","","","","19"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","1840790","2088583","1572474","1897502","2139166","109275","","","","","","","235"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","184189","184189","83170","213208","213208","3078","","","","","","","11"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","4169988","4169988","416905","4319673","4319673","15699","","","","","","","59"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","5490","5490","5490","5745","5745","0","","","","","","","2"
"2504 Natural Graphite","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","779394","779394","0","861068","861068","0","","","","","","","12"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","99656","99656","0","114950","114950","0","","","","","","","5"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","142708015","141553507","136218867","146357930","145288797","19045343","","","","","","","515"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","56821190","56821190","1388774","57259607","57259607","266876","","","","","","","191"
"2604 Nickel Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","21819","21819","2861","22819","22819","715","","","","","","","3"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","6547756","6547756","0","7954856","7954856","0","","","","","","","3"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","388376871","388532453","145225925","397241748","397396096","35309477","","","","","","","3426"
"2614 Titanium Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","95782798","95782798","10953","96027920","96027920","2738","","","","","","","46"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","146039813","144668622","10867203","146943793","145587213","2494690","","","","","","","1832"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","1866179171","1866160370","81744","1866855837","1866836036","14775","","","","","","","1171"
"2801 Fluorine, Chlorine, Bromine & Iodine","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","344607745","344607745","3211513","348702583","348702583","978893","","","","","","","2871"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","96747143","96165217","89645549","99817736","99486783","12529942","","","","","","","625"
"2504 Natural Graphite","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","161784767","161764301","0","168709364","168688892","0","","","","","","","2264"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","273690363","273628867","150216882","282088286","282026840","31674384","","","","","","","2960"
"2604 Nickel Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","136168","136168","116582","145977","145977","2171","","","","","","","6"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","113337549","109391871","102269061","116279837","112295436","14294038","","","","","","","569"
"2614 Titanium Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","155502609","155502609","88211","155738987","155738987","22053","","","","","","","42"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","492940117","507561570","390356269","523202861","538113007","65123935","","","","","","","7893"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","160871679","161033025","8827641","161583345","161759602","1939896","","","","","","","1714"
"2614 Titanium Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","54643132","54643132","17110","54772053","54772053","4278","","","","","","","21"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","125677764","123745036","10016099","126581993","124644149","2981547","","","","","","","1107"
"2801 Fluorine, Chlorine, Bromine & Iodine","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","197857269","197857269","2079901","198983703","198983703","306423","","","","","","","1579"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","118129462","116729328","9057319","121458057","119975540","1632834","","","","","","","4839"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","1385974035","1385974035","312930","1386519273","1386519273","62870","","","","","","","1066"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","467741118","467253284","109432713","479448424","478960441","18771144","","","","","","","3433"
"2606 Aluminum Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","31857661","30081930","0","37317906","35542117","0","","","","","","","134"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","421998135","412931771","196608692","431771601","422278551","63072062","","","","","","","13844"
"2604 Nickel Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","73394","73394","32523","110533","110533","8132","","","","","","","16"
"2603 Copper Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","34636986","34636986","76742","35562799","35562799","0","","","","","","","561"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","222099583","226496182","10349123","223403943","227849826","1962735","","","","","","","1624"
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","88900","88900","0","92000","92000","0","","","","","","","3"
"2604 Nickel Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","86992","86992","86992","98450","98450","2904","","","","","","","6"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","140002068","139332068","117049630","142579491","141899491","4788149","","","","","","","1017"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","79174589","77006654","75449762","81248096","79265481","10553332","","","","","","","441"
"2820 Manganese Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","4548353","4548353","1990004","5314197","5314197","187076","","","","","","","205"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","15085829","15085829","0","18196669","18196669","0","","","","","","","23"
"2606 Aluminum Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","38580813","38012122","0","43580187","43011475","0","","","","","","","136"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","9674112","9674112","0","11052410","11052410","0","","","","","","","14"
"2604 Nickel Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","101622","101622","101622","130721","130721","12945","","","","","","","20"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","137379638","137131360","65911099","138262605","138019531","15622402","","","","","","","710"
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","714073594","710219132","598165863","773017785","769147860","81789405","","","","","","","15487"
"2605 Cobalt Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","356450","356450","0","361517","361517","0","","","","","","","2"
"3910 Silicones, In Primary Forms","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","189356075","188531769","147234164","204618018","203785631","17022199","","","","","","","7654"
"2603 Copper Ores And Concentrates","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","322975","322975","271844","360334","360334","260","","","","","","","13"
