Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Card Count
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2012","264670996","264576339","","","","","3694"
"75 Nickel And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2017","63812","63812","","","","","10"
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2012","26802198","26802198","","","","","481"
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2014","2061758","2061758","","","","","25"
"75 Nickel And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2015","10071231","10071231","","","","","220"
"74 Copper And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2011","2234549","2234549","","","","","114"
"80 Tin And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2011","50813432","56854839","","","","","113"
"80 Tin And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2015","4066625","4066625","","","","","6"
"75 Nickel And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2020","9376413","9376413","","","","","185"
"80 Tin And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2019","2192139","2192139","","","","","15"
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2013","265483824","264583707","","","","","4932"
"80 Tin And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2012","8233138","8233138","","","","","12"
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2019","93133477","93133477","","","","","61"
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2018","270128259","262372727","","","","","7356"
"74 Copper And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2016","11173426","11173426","","","","","862"
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2019","15205640","13800826","","","","","548"
"76 Aluminum And Articles Thereof","Brunei","All Country Subcodes","All Rate Provisions","All Districts","2019","6511","6511","","","","","1"
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2015","13104283","13104283","","","","","249"
"76 Aluminum And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2014","34534028","34531506","","","","","1270"
"76 Aluminum And Articles Thereof","Macau","All Country Subcodes","All Rate Provisions","All Districts","2014","2168","2168","","","","","1"
"76 Aluminum And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2017","111558303","111537857","","","","","3831"
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2014","4031411","4018434","","","","","210"
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2020","113672","113672","","","","","7"
"76 Aluminum And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2016","83394791","83375954","","","","","2991"
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2014","576921","576921","","","","","55"
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2011","7183139","7177859","","","","","205"
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2015","20700926","20689610","","","","","528"
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2017","10255163","10255163","","","","","240"
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2014","9880673","9880673","","","","","495"
"74 Copper And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2012","4067668","4067668","","","","","109"
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2019","130277","130277","","","","","3"
"76 Aluminum And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2018","11054708","11117429","","","","","2005"
"76 Aluminum And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2015","27941433","27637789","","","","","1084"
"75 Nickel And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2018","121148255","122032945","","","","","1447"
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2019","2759841","2738828","","","","","142"
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2017","608286","608286","","","","","10"
"76 Aluminum And Articles Thereof","Mongolia","All Country Subcodes","All Rate Provisions","All Districts","2014","2484","2484","","","","","1"
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2012","233152926","232138784","","","","","3531"
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2014","203526","203526","","","","","17"
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2014","1822107","978267","","","","","131"
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2011","281302397","279397182","","","","","3262"
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2013","301598837","301479987","","","","","3834"
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2015","72033419","72033419","","","","","84"
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2018","309106526","308282657","","","","","15166"
"80 Tin And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2014","135209786","135209786","","","","","84"
"74 Copper And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2012","10738778","10738778","","","","","588"
"75 Nickel And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2018","64051","59657","","","","","17"
"76 Aluminum And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2020","4702394","4702394","","","","","118"
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2020","4632721","4635899","","","","","155"
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2019","351514436","349742948","","","","","16558"
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2014","31702453","31702453","","","","","262"
"74 Copper And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2019","22902488","22902488","","","","","469"
"76 Aluminum And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2017","51058151","50816845","","","","","2717"
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2013","620167","620167","","","","","29"
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2017","212419611","184428980","","","","","5614"
"74 Copper And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2015","1737567","1737567","","","","","106"
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2015","160605342","159835089","","","","","5707"
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2020","188533836","188492548","","","","","14347"
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2012","37400","37400","","","","","2"
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2012","156711604","117909115","","","","","4817"
"74 Copper And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2017","5000","5000","","","","","1"
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2012","11247013","11247013","","","","","251"
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2012","436357","436357","","","","","38"
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2015","254282588","253796013","","","","","5046"
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2012","165435769","165379863","","","","","11630"
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2020","145253491","148352793","","","","","119"
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2013","3992359","3061299","","","","","144"
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2019","376247475","372550710","","","","","8531"
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2019","187992369","187890436","","","","","1728"
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2012","51297348","51297348","","","","","591"
"74 Copper And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2019","50553","50553","","","","","2"
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2011","89641089","89641089","","","","","111"
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2015","159036","159036","","","","","25"
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2013","25396008","25364424","","","","","183"
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2016","125012555","123605829","","","","","4949"
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2020","302659880","300563743","","","","","7956"
"74 Copper And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2018","12287655","12287655","","","","","830"
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2014","158557670","169971227","","","","","164"
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2016","5938460","5938460","","","","","146"
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2017","180457066","179437713","","","","","208"
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2016","84213242","84285248","","","","","1331"
"80 Tin And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2016","1782816","1782816","","","","","150"
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2013","135758536","124714080","","","","","4019"
"75 Nickel And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2019","33607065","34246982","","","","","2521"
"76 Aluminum And Articles Thereof","Macau","All Country Subcodes","All Rate Provisions","All Districts","2019","70462","70462","","","","","13"
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2015","29500","29500","","","","","1"
"76 Aluminum And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2015","43511578","43511578","","","","","2335"
"80 Tin And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2019","2368964","2368964","","","","","162"
"76 Aluminum And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2016","112075753","112025263","","","","","2687"
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2018","10051783","10051786","","","","","272"
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2014","317694418","317620651","","","","","4030"
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2015","200896348","199831867","","","","","4527"
"76 Aluminum And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2018","2567895","2567895","","","","","19"
"74 Copper And Articles Thereof","Brunei","All Country Subcodes","All Rate Provisions","All Districts","2011","12067","12067","","","","","1"
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2016","42739117","42726753","","","","","1718"
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2017","554274","554274","","","","","30"
"75 Nickel And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2017","19554918","19541954","","","","","1507"
"76 Aluminum And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2019","2502430","2502430","","","","","29"
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2019","294395388","294367037","","","","","5195"
"74 Copper And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2020","20031609","20031609","","","","","493"
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2013","318066","318066","","","","","33"
"76 Aluminum And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2015","630411","630411","","","","","43"
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2016","179151281","178984622","","","","","4603"
"75 Nickel And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2013","68933168","65426224","","","","","1032"
"75 Nickel And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2016","3995","3995","","","","","1"
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2018","150754539","150641203","","","","","1126"
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2018","16659434","16666333","","","","","264"
"74 Copper And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2015","4985","4985","","","","","1"
"76 Aluminum And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2020","207849523","207707386","","","","","9199"
"74 Copper And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2013","2547926","2538322","","","","","135"
"80 Tin And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2012","39309945","39309945","","","","","89"
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2012","128341095","127770181","","","","","8219"
"80 Tin And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2020","91296","91296","","","","","5"
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2016","159574746","158370829","","","","","13538"
"76 Aluminum And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2015","211977464","211938559","","","","","2777"
"76 Aluminum And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2018","38490013","37698083","","","","","1962"
"75 Nickel And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2015","23611","23611","","","","","4"
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2020","2359360","2359360","","","","","142"
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2018","53295024","53297789","","","","","1928"
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2020","240180","240180","","","","","8"
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2018","8951400","7777420","","","","","438"
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2014","25768","25768","","","","","2"
"76 Aluminum And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2019","31841365","31191538","","","","","2256"
"74 Copper And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2015","29329316","29327043","","","","","515"
"76 Aluminum And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2016","2342920","2342920","","","","","22"
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2012","146032338","137321853","","","","","4101"
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2011","21152712","21152712","","","","","520"
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2016","208024","208024","","","","","29"
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2018","164474","164474","","","","","19"
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2015","3479859","3396239","","","","","165"
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2016","3188492","3188492","","","","","15"
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2012","8875765","8875765","","","","","165"
"74 Copper And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2020","14409790","14409790","","","","","795"
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2017","253645658","253737631","","","","","5317"
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2020","253019326","251832051","","","","","14351"
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2013","9415626","9393552","","","","","385"
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2017","118697731","118504475","","","","","1442"
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2018","179362","179362","","","","","21"
"75 Nickel And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2017","68252","68252","","","","","7"
"75 Nickel And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2012","5741","5741","","","","","1"
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2019","246983389","247000170","","","","","4755"
"76 Aluminum And Articles Thereof","Brunei","All Country Subcodes","All Rate Provisions","All Districts","2020","453544","453544","","","","","10"
"75 Nickel And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2014","20218093","20218093","","","","","325"
"80 Tin And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2011","667316","667316","","","","","38"
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2019","1414513","1414513","","","","","102"
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2020","258844668","258590441","","","","","2761"
"75 Nickel And Articles Thereof","Macau","All Country Subcodes","All Rate Provisions","All Districts","2018","3545","3545","","","","","1"
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2020","106267","106267","","","","","3"
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2016","265719331","265859638","","","","","5260"
"76 Aluminum And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2011","50699152","50606881","","","","","1972"
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2017","46077901","45958279","","","","","1806"
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2014","62896418","62839091","","","","","1701"
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2012","1164793","1164793","","","","","96"
"80 Tin And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2016","321354","306504","","","","","37"
"75 Nickel And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2019","16739","16739","","","","","7"
"80 Tin And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2017","827280","827280","","","","","3"
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2014","11425072","11425072","","","","","215"
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2015","269696297","269608310","","","","","5941"
"80 Tin And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2012","96328694","96328694","","","","","65"
"75 Nickel And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2016","24791510","24797511","","","","","1260"
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2017","174199","174199","","","","","25"
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2011","4267444","4267444","","","","","90"
"80 Tin And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2018","9359550","9359550","","","","","56"
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2017","9515458","9515458","","","","","353"
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2011","16698468","16698468","","","","","434"
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2017","4564105","4559252","","","","","257"
"80 Tin And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2019","12804465","12804465","","","","","70"
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2015","6008116","6008116","","","","","229"
"74 Copper And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2011","103977109","103977109","","","","","840"
"76 Aluminum And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2013","178224040","178191656","","","","","2081"
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2016","129288990","128217745","","","","","127"
